Dataset,Convolution,Aggregator,Iteration,MAE,RMSE,Maximum error,R2
BACE_REGR,GAT,Sum,0,1.0799,1.2745,3.0321,0.0285
BACE_REGR,GAT,Sum,1,1.0481,1.2459,3.0048,0.1378
BACE_REGR,GAT,Sum,2,1.0476,1.2454,3.0016,0.1397
BACE_REGR,GAT,Sum,3,1.048,1.2458,3.003,0.1386
BACE_REGR,GAT,Sum,4,1.0476,1.2454,3.0023,0.1395
BACE_REGR,GAT,Max,0,1.0626,1.2598,2.9366,0.5003
BACE_REGR,GAT,Max,1,1.0626,1.2598,2.9366,0.5002
BACE_REGR,GAT,Max,2,1.0626,1.2598,2.9366,0.5002
BACE_REGR,GAT,Max,3,1.0626,1.2598,2.9366,0.5002
BACE_REGR,GAT,Max,4,1.0626,1.2598,2.9366,0.5003
BACE_REGR,GAT,Mean,0,1.0674,1.2634,2.9483,0.0168
BACE_REGR,GAT,Mean,1,1.0674,1.2634,2.9483,0.0168
BACE_REGR,GAT,Mean,2,1.0674,1.2634,2.9483,0.0168
BACE_REGR,GAT,Mean,3,1.0674,1.2634,2.9483,0.0168
BACE_REGR,GAT,Mean,4,1.0674,1.2634,2.9483,0.0168
BACE_REGR,GAT,Dense,0,0.7771,0.9127,2.0127,0.5226
BACE_REGR,GAT,Dense,1,0.7728,0.931,2.1478,0.5211
BACE_REGR,GAT,Dense,2,0.7311,0.8889,2.3451,0.5318
BACE_REGR,GAT,Dense,3,0.7878,0.9331,2.2685,0.5107
BACE_REGR,GAT,Dense,4,0.7451,0.8889,2.1832,0.5901
BACE_REGR,GAT,GRU,0,0.7666,0.9287,2.6907,0.5833
BACE_REGR,GAT,GRU,1,0.7667,0.9287,2.6903,0.5835
BACE_REGR,GAT,GRU,2,0.7668,0.9288,2.69,0.5834
BACE_REGR,GAT,GRU,3,0.7666,0.9287,2.6898,0.5834
BACE_REGR,GAT,GRU,4,0.7674,0.9293,2.6892,0.5826
BACE_REGR,GAT,Set Transformer,0,1.0367,1.2535,3.0085,0.2534
BACE_REGR,GAT,Set Transformer,1,1.0367,1.2535,3.0085,0.2442
BACE_REGR,GAT,Set Transformer,2,1.0367,1.2535,3.0085,0.2478
BACE_REGR,GAT,Set Transformer,3,1.0367,1.2535,3.0085,0.2464
BACE_REGR,GAT,Set Transformer,4,1.0368,1.2535,3.0083,0.2194
BACE_REGR,GATv2,Sum,0,1.0464,1.2437,2.9865,0.1389
BACE_REGR,GATv2,Sum,1,1.0459,1.2433,2.9837,0.1409
BACE_REGR,GATv2,Sum,2,1.0462,1.2435,2.9857,0.1402
BACE_REGR,GATv2,Sum,3,1.0461,1.2435,2.9848,0.1402
BACE_REGR,GATv2,Sum,4,1.0458,1.2431,2.9827,0.1415
BACE_REGR,GATv2,Max,0,1.0411,1.2307,3.0888,0.2773
BACE_REGR,GATv2,Max,1,1.0415,1.2311,3.0906,0.2759
BACE_REGR,GATv2,Max,2,1.0416,1.2312,3.0911,0.2746
BACE_REGR,GATv2,Max,3,1.0419,1.2315,3.0917,0.2737
BACE_REGR,GATv2,Max,4,1.0416,1.2311,3.0914,0.2749
BACE_REGR,GATv2,Mean,0,1.0949,1.2818,3.0553,0.2853
BACE_REGR,GATv2,Mean,1,1.0949,1.2818,3.0553,0.2853
BACE_REGR,GATv2,Mean,2,1.0949,1.2818,3.0553,0.2854
BACE_REGR,GATv2,Mean,3,1.0949,1.2818,3.0553,0.2854
BACE_REGR,GATv2,Mean,4,1.0949,1.2818,3.0553,0.2853
BACE_REGR,GATv2,Dense,0,0.7717,0.9186,2.6085,0.5048
BACE_REGR,GATv2,Dense,1,0.7296,0.865,2.0611,0.5893
BACE_REGR,GATv2,Dense,2,0.7362,0.8875,2.1029,0.5592
BACE_REGR,GATv2,Dense,3,0.7419,0.8952,2.5994,0.524
BACE_REGR,GATv2,Dense,4,0.7701,0.8999,2.026,0.5492
BACE_REGR,GATv2,GRU,0,0.7862,0.9401,2.5896,0.5976
BACE_REGR,GATv2,GRU,1,0.7855,0.9395,2.5834,0.5984
BACE_REGR,GATv2,GRU,2,0.786,0.9401,2.5882,0.5979
BACE_REGR,GATv2,GRU,3,0.7862,0.9402,2.5859,0.5978
BACE_REGR,GATv2,GRU,4,0.7867,0.9407,2.5871,0.5972
BACE_REGR,GATv2,Set Transformer,0,1.0647,1.2612,2.9392,0.3998
BACE_REGR,GATv2,Set Transformer,1,1.0647,1.2612,2.9392,0.3994
BACE_REGR,GATv2,Set Transformer,2,1.0647,1.2612,2.9392,0.3995
BACE_REGR,GATv2,Set Transformer,3,1.0647,1.2612,2.9392,0.3996
BACE_REGR,GATv2,Set Transformer,4,1.0647,1.2612,2.9392,0.399
BACE_REGR,GCN,Sum,0,1.0967,1.2906,2.9053,0.056
BACE_REGR,GCN,Sum,1,1.0967,1.2906,2.9053,0.056
BACE_REGR,GCN,Sum,2,1.0967,1.2906,2.9053,0.056
BACE_REGR,GCN,Sum,3,1.0967,1.2906,2.9053,0.056
BACE_REGR,GCN,Sum,4,1.0967,1.2906,2.9053,0.056
BACE_REGR,GCN,Max,0,1.0462,1.2558,2.9847,0.0024
BACE_REGR,GCN,Max,1,1.0462,1.2558,2.9847,0.0024
BACE_REGR,GCN,Max,2,1.0462,1.2558,2.9847,0.0024
BACE_REGR,GCN,Max,3,1.0462,1.2558,2.9847,0.0024
BACE_REGR,GCN,Max,4,1.0462,1.2558,2.9847,0.0024
BACE_REGR,GCN,Mean,0,1.0477,1.2569,2.9759,0.0717
BACE_REGR,GCN,Mean,1,1.0477,1.2569,2.9759,0.0717
BACE_REGR,GCN,Mean,2,1.0477,1.2569,2.9759,0.0717
BACE_REGR,GCN,Mean,3,1.0477,1.2569,2.9759,0.0717
BACE_REGR,GCN,Mean,4,1.0477,1.2569,2.9759,0.0717
BACE_REGR,GCN,Dense,0,0.6774,0.8099,1.846,0.6685
BACE_REGR,GCN,Dense,1,0.7611,0.9026,2.227,0.6333
BACE_REGR,GCN,Dense,2,0.7111,0.8559,2.1092,0.6118
BACE_REGR,GCN,Dense,3,0.7013,0.8381,2.1096,0.6011
BACE_REGR,GCN,Dense,4,0.7276,0.8704,2.4267,0.6525
BACE_REGR,GCN,GRU,0,0.7643,0.9091,2.5622,0.6096
BACE_REGR,GCN,GRU,1,0.7651,0.9098,2.5603,0.6092
BACE_REGR,GCN,GRU,2,0.7646,0.9094,2.5638,0.6093
BACE_REGR,GCN,GRU,3,0.7644,0.9091,2.5642,0.6093
BACE_REGR,GCN,GRU,4,0.7645,0.9093,2.564,0.6093
BACE_REGR,GCN,Set Transformer,0,1.0299,1.2529,3.0488,0.0094
BACE_REGR,GCN,Set Transformer,1,1.0299,1.253,3.0488,0.0092
BACE_REGR,GCN,Set Transformer,2,1.0299,1.2529,3.0487,0.0093
BACE_REGR,GCN,Set Transformer,3,1.0299,1.2529,3.0487,0.0096
BACE_REGR,GCN,Set Transformer,4,1.03,1.253,3.0486,0.0089
BACE_REGR,GIN,Sum,0,1.0063,1.1833,2.5804,0.1391
BACE_REGR,GIN,Sum,1,1.0069,1.1838,2.5806,0.1384
BACE_REGR,GIN,Sum,2,1.0063,1.1831,2.5804,0.1396
BACE_REGR,GIN,Sum,3,1.0066,1.1833,2.5807,0.1395
BACE_REGR,GIN,Sum,4,1.0062,1.1832,2.5809,0.1395
BACE_REGR,GIN,Max,0,1.0376,1.2239,3.0675,0.2708
BACE_REGR,GIN,Max,1,1.0373,1.224,3.0693,0.2688
BACE_REGR,GIN,Max,2,1.0382,1.2248,3.0769,0.2625
BACE_REGR,GIN,Max,3,1.0395,1.2275,3.0519,0.2717
BACE_REGR,GIN,Max,4,1.0406,1.2281,3.0578,0.2739
BACE_REGR,GIN,Mean,0,0.952,1.1228,2.8382,0.5463
BACE_REGR,GIN,Mean,1,0.9608,1.1322,2.86,0.5394
BACE_REGR,GIN,Mean,2,0.9597,1.1313,2.859,0.5377
BACE_REGR,GIN,Mean,3,1.0159,1.1946,2.9574,0.4995
BACE_REGR,GIN,Mean,4,0.9597,1.1314,2.8596,0.5391
BACE_REGR,GIN,Dense,0,0.7959,0.9197,2.0786,0.5146
BACE_REGR,GIN,Dense,1,0.7674,0.8981,2.0112,0.5885
BACE_REGR,GIN,Dense,2,0.7454,0.8788,2.309,0.5629
BACE_REGR,GIN,Dense,3,0.7737,0.9143,2.3618,0.5095
BACE_REGR,GIN,Dense,4,0.7716,0.8958,2.1573,0.6019
BACE_REGR,GIN,GRU,0,0.7841,0.9521,2.4814,0.4931
BACE_REGR,GIN,GRU,1,0.787,0.9569,2.5401,0.491
BACE_REGR,GIN,GRU,2,0.7887,0.958,2.5244,0.49
BACE_REGR,GIN,GRU,3,0.7863,0.9545,2.5474,0.4923
BACE_REGR,GIN,GRU,4,0.786,0.9537,2.4747,0.4946
BACE_REGR,GIN,Set Transformer,0,1.0918,1.2768,3.0481,0.4005
BACE_REGR,GIN,Set Transformer,1,1.0918,1.2768,3.0481,0.4005
BACE_REGR,GIN,Set Transformer,2,1.0918,1.2768,3.0481,0.4005
BACE_REGR,GIN,Set Transformer,3,1.0918,1.2768,3.0481,0.4004
BACE_REGR,GIN,Set Transformer,4,1.0918,1.2768,3.0481,0.4005
BACE_REGR,PNA,Sum,0,1.0439,1.2407,3.0142,0.195
BACE_REGR,PNA,Sum,1,1.0543,1.2499,2.8971,0.2246
BACE_REGR,PNA,Sum,2,1.0763,1.269,3.0138,0.0096
BACE_REGR,PNA,Sum,3,1.0581,1.2517,2.879,0.4075
BACE_REGR,PNA,Sum,4,1.0585,1.2514,2.9046,0.3152
BACE_REGR,PNA,Max,0,1.072,1.2659,2.968,0.279
BACE_REGR,PNA,Max,1,1.072,1.2659,2.968,0.2888
BACE_REGR,PNA,Max,2,1.072,1.2659,2.9681,0.293
BACE_REGR,PNA,Max,3,1.072,1.2659,2.968,0.2847
BACE_REGR,PNA,Max,4,1.072,1.2659,2.9681,0.2869
BACE_REGR,PNA,Mean,0,1.0723,1.2661,2.9682,0.1556
BACE_REGR,PNA,Mean,1,1.0723,1.2661,2.9682,0.1519
BACE_REGR,PNA,Mean,2,1.0723,1.2661,2.9682,0.1509
BACE_REGR,PNA,Mean,3,1.0723,1.2661,2.9682,0.1484
BACE_REGR,PNA,Mean,4,1.0723,1.2661,2.9682,0.1551
BACE_REGR,PNA,Dense,0,0.705,0.8573,2.1225,0.563
BACE_REGR,PNA,Dense,1,0.7477,0.8962,2.2426,0.5024
BACE_REGR,PNA,Dense,2,0.7341,0.8613,2.032,0.5853
BACE_REGR,PNA,Dense,3,0.661,0.8052,2.0248,0.6073
BACE_REGR,PNA,Dense,4,0.6925,0.8231,1.9476,0.5995
BACE_REGR,PNA,GRU,0,0.8012,0.957,2.9548,0.5517
BACE_REGR,PNA,GRU,1,0.7921,0.9453,2.636,0.5738
